Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
BenRiach Birnie Moss,8.24,0.35,11,$$$,SingleMalt-like,I,I,Scotland,Malt
Spirit of Hven Seven Stars No. 1 Dubhe,8.22,0.41,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Bowmore Small Batch,8.2,0.53,14,$$$,SingleMalt-like,I,I,Scotland,Malt
Glenrothes Peated Cask Reserve,8.2,0.66,4,$$$,SingleMalt-like,I,I,Scotland,Malt
Connemara Peated Single Malt,8.18,0.29,20,$$$,SingleMalt-like,I,I,Ireland,Malt
St George's Chapter 9 (peated),8.17,0.52,5,$$$,SingleMalt-like,I,I,England,Malt
Bruichladdich 8yo Laddie Eight,8.16,0.68,4,$$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park Einar,8.14,0.58,10,$$$,SingleMalt-like,I,I,Scotland,Malt
Old Ballantruan Peated (Toumintoul),8.1,0.59,10,$$$$,SingleMalt-like,I,I,Scotland,Malt
Arran Malt Machrie Moor Peated (all editions),8.06,0.57,17,$$$$,SingleMalt-like,I,I,Scotland,Malt
Jura 10yo Origin,7.95,0.35,21,$$$,SingleMalt-like,I,I,Scotland,Malt
Matsui The Peated,7.9,1.11,5,$$$$,SingleMalt-like,I,I,Japan,Malt
Glenfiddich 12yo Caoran Reserve,7.83,0.49,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore Legend,7.63,0.63,11,$$,SingleMalt-like,I,I,Scotland,Malt
Longrow 10yo Tokaji Finish,7.42,1.07,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Brora 35yo,9.43,0.3,13,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Brora 30yo,9.39,0.27,20,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 23yo Twenty Something,9.29,0.17,8,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Uigeadail,9.19,0.37,31,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10 (Third Edition),9.17,0.2,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 21yo,9.16,0.26,15,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 21yo,9.13,0.38,13,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 19yo Traigh Bhan,9.1,0.22,10,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Lagavulin 16yo,9.1,0.35,34,$$$$,SingleMalt-like,J,J,Scotland,Malt
Kavalan Solist Peaty Cask,9.09,0.13,7,$$$$$+,SingleMalt-like,J,J,Taiwan,Malt
Laphroaig Cairdeas 2015,9.09,0.23,13,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.2,9.08,0.18,12,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.3,9.08,0.46,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Lagavulin 12yo Cask Strength,9.08,0.18,29,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Supernova 2014,9.07,0.32,15,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 8.3,9.07,0.19,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 9.3,9.07,0.25,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Corryvreckan,9.06,0.33,28,$$$$,SingleMalt-like,J,J,Scotland,Malt
Amrut Peated Cask Strength,9.05,0.28,18,$$$$,SingleMalt-like,J,J,India,Malt
Amrut Portpipe Peated Single Cask #4668 (2017),9.04,0.24,3,$$$$,SingleMalt-like,J,J,India,Malt
Ardbeg Alligator,9.04,0.18,18,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
"Smogen 8yo (4,8-10/2011)",9.04,0.31,3,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Bruichladdich Octomore 8.2,9.03,0.2,9,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 22yo Twenty Something,9.02,0.16,4,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Ardbog,9.02,0.4,25,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box No Name,9.02,0.3,17,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Lagavulin Distiller's Edition (All Vintages),9.02,0.26,26,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Supernova 2015,9.01,0.32,8,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 12.3,9.01,0.17,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman 2008 Vintage,9.01,0.17,7,$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 18yo,9.01,0.26,25,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Longrow 18yo,9.01,0.3,18,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.1,9.0,0.28,17,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box No Name (all editions),9.0,0.3,17,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10 (Second Edition),8.99,0.25,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2014 - 10th Anniversary,8.99,0.29,12,$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2019 Triple Wood Cask Strength,8.99,0.18,9,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10.2,8.98,0.23,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ichiro's Malt Chichibu The Peated,8.98,0.35,12,$$$$$+,SingleMalt-like,J,J,Japan,Malt
Bruichladdich Octomore 8.4,8.97,0.09,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2014 Amontillado,8.97,0.2,14,$$$$,SingleMalt-like,J,J,Scotland,Malt
Smogen Single Cask (all editions),8.97,0.11,5,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Smogen Single Cask 4yo 7/2011,8.97,0.21,4,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Ardbeg 17yo,8.96,0.34,8,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Kilchoman 2009 Vintage,8.96,0.11,4,$$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Original Cask Strength,8.96,0.39,9,$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Quarter Cask,8.96,0.3,30,$$$$,SingleMalt-like,J,J,Scotland,Malt
Amrut Portpipe Peated Single Cask #2712 (2013),8.95,0.1,3,$$$$,SingleMalt-like,J,J,India,Malt
AnCnoc Cutter,8.95,0.45,10,$$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman 2007 Vintage,8.94,0.31,9,$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 10yo Cask Strength (all batches),8.94,0.58,30,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10,8.93,0.35,6,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 11.3,8.93,0.31,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2008 Reserve Edition,8.93,0.19,3,$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10 (Fourth Edition),8.92,0.07,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt
High Coast (Box) The Festival 2014,8.91,0.09,3,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Ardbeg Dark Cove,8.9,0.28,24,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.2,8.89,0.44,14,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Amrut 100 Peated,8.88,0.34,7,$$$$,SingleMalt-like,J,J,India,Malt
AnCnoc Rutter,8.88,0.33,8,$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 10yo,8.88,0.35,30,$$$,SingleMalt-like,J,J,Scotland,Malt
Brora 21yo,8.88,0.43,4,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Grooves,8.87,0.24,19,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 11.1,8.87,0.17,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box No Name No. 2,8.87,0.15,7,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 8.1,8.86,0.14,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Supernova 2019,8.85,0.23,6,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 12.1,8.85,0.21,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Lagavulin 8yo,8.85,0.25,27,$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2018 Fino,8.85,0.24,11,$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Monster 2004,8.84,0.34,3,$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2016 Madeira,8.83,0.41,17,$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Auriverdes,8.82,0.38,20,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.3,8.82,0.62,12,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig An Cuan Mor,8.82,0.23,18,$$$$,SingleMalt-like,J,J,Scotland,Malt
Wemyss Malts Kiln Embers,8.82,0.18,4,$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 12.2,8.81,0.46,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg An Oa,8.8,0.26,20,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10.3,8.8,0.34,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt
BenRiach 18yo Dunder,8.79,0.28,5,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.1,8.79,0.3,21,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Port Charlotte Islay Barley Heavily Peated,8.79,0.18,9,$$$$,SingleMalt-like,J,J,Scotland,Malt
Longrow CV,8.79,0.33,18,$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Kelpie,8.78,0.18,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Ceòbanach,8.78,0.24,17,$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 10yo,8.78,0.29,29,$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Perpetuum,8.77,0.4,19,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2015 Cask Strength,8.77,0.31,5,$$$$,SingleMalt-like,J,J,Scotland,Malt
Game of Thrones House Lannister Lagavulin 9yo,8.77,0.21,18,$$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Machir Bay (all vintages),8.77,0.24,30,$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig 15yo (200th Anniversary),8.77,0.33,18,$$$$,SingleMalt-like,J,J,Scotland,Malt
Amrut Portpipe Peated Single Cask (all casks),8.75,0.43,16,$$$$,SingleMalt-like,J,J,India,Malt
Bruichladdich Octomore 10.4,8.75,0.63,7,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Two Brewers Release 12 Peated,8.75,0.48,5,$$$$,SingleMalt-like,J,J,Canada,Malt
Amrut Portpipe Peated Single Cask #2713 (2013),8.74,0.15,4,$$$$,SingleMalt-like,J,J,India,Malt
Connemara Turf Mor,8.74,0.46,11,$$$$,SingleMalt-like,J,J,Ireland,Malt
Longrow Peated,8.74,0.2,20,$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 9.1,8.73,0.33,11,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster (all editions),8.73,0.25,27,$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman 100% Islay (all editions),8.73,0.24,23,$$$$,SingleMalt-like,J,J,Scotland,Malt
Lagavulin 11yo Offerman Edition,8.73,0.27,9,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Toiteach A Dha,8.72,0.33,10,$$$$,SingleMalt-like,J,J,Scotland,Malt
Big Peat Christmas Edition (all editions),8.71,0.35,15,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.4,8.71,0.6,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2005,8.71,0.09,4,$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2006,8.71,0.01,3,$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Spring 2011 Release,8.71,0.25,8,$$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Cairdeas 2017,8.71,0.28,15,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10.1,8.7,0.31,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 11.2,8.7,0.18,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2012,8.7,0.32,10,$$$,SingleMalt-like,J,J,Scotland,Malt
Amrut Portpipe Peated Single Cask #2712 (2016),8.68,0.51,6,$$$$,SingleMalt-like,J,J,India,Malt
Caol Ila Distiller's Edition (all editions),8.68,0.37,18,$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2015,8.68,0.16,5,$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Lore,8.68,0.31,22,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Smogen Single Cask 4yo 20/2011,8.68,0.27,3,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Amrut Peated,8.67,0.27,16,$$$$,SingleMalt-like,J,J,India,Malt
Ileach Peated Islay Cask Strength,8.66,0.4,14,$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig Triple Wood,8.66,0.35,24,$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Drum,8.65,0.42,18,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 9.2,8.65,0.56,3,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Jura Prophecy,8.64,0.31,21,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Toiteach,8.57,0.39,19,$$$$,SingleMalt-like,J,J,Scotland,Malt
AnCnoc Flaughter,8.55,0.34,11,$$$$,SingleMalt-like,J,J,Scotland,Malt
BenRiach 17yo Septendecim Peated,8.54,0.55,19,$$$$,SingleMalt-like,J,J,Scotland,Malt
Benromach Peat Smoke,8.54,0.33,21,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Port Charlotte The Peat Project,8.51,0.38,7,$$$$,SingleMalt-like,J,J,Scotland,Malt
Kilchoman Winter 2010 Release,8.49,0.15,4,$$$$,SingleMalt-like,J,J,Scotland,Malt
Compass Box Peat Monster 2010,8.45,0.85,3,$$$,SingleMalt-like,J,J,Scotland,Malt
Finlaggan Old Reserve,8.43,0.51,16,$$,SingleMalt-like,J,J,Scotland,Malt
Ileach Peated Islay,8.4,0.36,8,$$,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Cruach Mhona,8.38,0.4,9,$$$,SingleMalt-like,J,J,Scotland,Malt
Laphroaig QA Cask,8.23,0.55,12,$$$,SingleMalt-like,J,J,Scotland,Malt
Milstone Peated,8.19,0.58,3,$$$,SingleMalt-like,J,J,Netherlands,Malt
Tomintoul Peaty Tang,7.99,0.54,14,$$,SingleMalt-like,J,J,Scotland,Malt
McClelland's Islay Single Malt,7.78,0.7,9,$$,SingleMalt-like,J,J,Scotland,Malt
Santis Edition Dreifaltigkeit,7.12,1.84,12,$$$$,SingleMalt-like,J,J,Switzerland,Malt
Santis Cask Strength Peated,6.47,1.89,6,$$$$,SingleMalt-like,J,J,Switzerland,Malt
