Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,Primary Score,image_path_0,image_path_1,image_path_2
Highland Park 10yo Viking Scars,8.31,0.66,5,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Glenmorangie Lasanta,8.39,0.36,28,$$$,SingleMalt-like,ABC,A,Scotland,Malt,7,,,
Arran Malt 10yo,8.55,0.27,27,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Bowmore No.1,8.33,0.42,6,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Bruichladdich Classic Laddie Scottish Barley,8.56,0.33,22,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Nikka Yoichi 12yo,8.76,0.2,9,$$$$$,SingleMalt-like,I,I,Japan,Malt,7,,,
Springbank CV,8.28,0.41,10,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Glengoyne Cask Strength (batch 4),8.51,0.27,8,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Glen Garioch 1999 Sherry Cask Matured,8.53,0.82,12,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Glen Garioch Founder's Reserve,8.42,0.39,21,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Tullibardine 1993 Port,7.94,0.38,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Macallan 10yo Sherry Oak,8.42,0.32,11,$$$,SingleMalt-like,ABC,A,Scotland,Malt,7,,,
Glenmorangie 10yo,8.4,0.41,29,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
BenRiach 12yo,8.4,0.3,18,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Wemyss Malts The Rockpool,8.87,0.28,3,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Glengoyne Cask Strength (batch 7),8.88,0.22,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Craigellachie 13yo,8.41,0.51,24,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Lohin McKinnon Wine Barrel Finished (Black Sage),7.84,0.65,8,$$$,SingleMalt-like,ABC,C,Canada,Malt,7,,,
Tullibardine 25yo,8.4,0.39,7,$$$$$+,SingleMalt-like,EF,E,Ireland,Malt,7,,,
Bruichladdich Laddie Classic (Edition 01),8.42,0.55,7,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
GlenDronach Peated,8.59,0.29,17,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
BenRiach 10yo,8.44,0.35,14,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
High Coast (Box) Quercus III Petraea,8.45,0.49,3,$$$$,SingleMalt-like,GH,G,Sweden,Malt,7,,,
Scallywag 13yo,8.85,0.08,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Glengoyne Cask Strength (all batches),8.66,0.38,19,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Jura 10yo Origin,7.95,0.35,21,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Glengoyne 12yo Cask Strength,8.53,0.44,10,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Fettercairn Fior,8.36,0.31,7,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Wemyss Malts The Hive,8.38,0.22,14,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Mars Kogamatake The Revival 2011,8.57,0.46,5,$$$$$,SingleMalt-like,I,I,Japan,Malt,7,,,
Compass Box Double Single (all editions),8.85,0.26,11,$$$$$,SingleMalt-like,GH,G,Scotland,Blend,7,,,
Bruichladdich Laddie Ten 10yo (Second Edition),8.85,0.24,14,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glentauchers 1991 18yo (Gordon & MacPhail),8.43,0.24,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Compass Box Double Single,8.86,0.29,9,$$$$$,SingleMalt-like,GH,G,Scotland,Blend,7,,,
Kavalan ex-Bourbon Oak,8.88,0.24,7,$$$$,SingleMalt-like,EF,E,Taiwan,Malt,7,,,
Lohin McKinnon Choclolate Malt,8.06,0.48,3,$$$,SingleMalt-like,EF,E,Canada,Malt,7,,,
GlenDronach 12yo Original,8.59,0.24,27,$$$,SingleMalt-like,ABC,A,Scotland,Malt,7,,,
Edradour Ballechin 10yo,8.65,0.54,8,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Wemyss Malts Peat Chimney,8.37,0.4,16,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Highland Park 12yo (all reviews),8.63,0.22,33,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Amrut Naarangi,8.55,0.5,18,$$$$$,SingleMalt-like,ABC,C,India,Malt,7,,,
BenRiach 10yo Curiositas,8.62,0.3,22,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Benromach 10yo,8.62,0.33,31,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Glen Garioch 15yo Sherry Cask Matured,8.57,0.59,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Mackmyra Svensk Rök,8.6,0.32,5,$$$$,SingleMalt-like,I,I,Sweden,Malt,7,,,
Talisker Dark Storm,8.6,0.2,13,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Spirit of Hven Tycho’s Star,8.69,0.29,6,$$$$,SingleMalt-like,I,I,Sweden,Malt,7,,,
Bruichladdich Laddie Ten 10yo,8.81,0.26,22,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
"Elements of Islay ""Peat""",8.55,0.83,6,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
High Coast (Box) Quercus IV Mongolica,8.8,0.58,3,$$$$,SingleMalt-like,GH,G,Sweden,Malt,7,,,
Hibiki 12yo,8.62,0.25,24,$$$$,SingleMalt-like,GH,G,Japan,Blend,7,,,
Bowmore 12yo,8.38,0.3,23,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Highland Park 10yo (all reviews),8.39,0.41,18,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Glenfiddich Fire & Cane Experimental Series No. 4,8.4,0.45,15,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Nantou (Omar) Yushan Bourbon Cask,8.27,0.38,9,$$$$,SingleMalt-like,EF,E,Taiwan,Malt,7,,,
High Coast (Box) Dalvve,8.45,0.25,10,$$$$,SingleMalt-like,I,I,Sweden,Malt,7,,,
Ardmore Traditional Cask,8.48,0.23,26,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Ledaig 10yo,8.49,0.4,30,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Highland Park 12yo (reviews 2014-2017),8.49,0.43,19,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
GlenDronach Peated Port Wood,8.72,0.32,4,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Compass Box Rivals,8.7,0.19,5,$$$$$,SingleMalt-like,GH,G,Scotland,Blend,7,,,
High Coast (Box) Early Days (batches 01/02),8.5,0.3,3,$$$$,SingleMalt-like,I,I,Sweden,Malt,7,,,
Glenfarclas 15yo,8.63,0.45,25,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Yamazaki Bourbon Barrel,8.78,0.26,9,$$$$$,SingleMalt-like,GH,G,Japan,Malt,7,,,
Glenglassaugh Torfa,8.69,0.32,7,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
Bruichladdich Laddie Eight 8yo,8.38,0.5,7,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Highland Park 12yo Viking Honour (post-2017),8.59,0.34,11,$$$,SingleMalt-like,I,I,Scotland,Malt,7,,,
High Coast (Box) Hav,8.88,0.28,3,$$$$,SingleMalt-like,I,I,Sweden,Malt,7,,,
Highland Park Svein,8.25,0.44,12,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Wemyss Malts Velvet Fig,8.21,1.22,5,$$$,SingleMalt-like,ABC,A,Scotland,Malt,7,,,
White Oak Akashi 5yo,8.22,0.61,9,$$$$$,SingleMalt-like,GH,G,Japan,Malt,7,,,
Glenkinchie 12yo,8.2,0.27,21,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glengoyne 15yo,8.48,0.5,11,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Glenrothes Alba Reserve,8.19,0.54,10,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glengoyne Cask Strength (batch 5),8.72,0.15,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Glengoyne Cask Strength (batch 1),8.72,0.46,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Amrut Spectrum 004 (Batch 2),9.02,0.4,14,$$$$$,SingleMalt-like,ABC,C,India,Malt,7,,,
Glenlossie 10yo (F&F),8.17,0.33,9,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glenglassaugh Evolution,8.14,0.35,9,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glenrothes Bourbon Cask Reserve,8.14,0.15,4,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Tormore 14yo,8.09,0.42,5,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glenfiddich 12yo,8.08,0.26,32,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Nikka Yoichi 15yo,8.98,0.24,19,$$$$$,SingleMalt-like,I,I,Japan,Malt,7,,,
Amrut Spectrum (all batches),9.06,0.37,18,$$$$$,SingleMalt-like,ABC,C,India,Malt,7,,,
Glenfiddich Reserve Cask,8.28,0.31,9,$$$,SingleMalt-like,ABC,A,Scotland,Malt,7,,,
Glenturret 10yo,8.05,0.49,13,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Tullibardine Aged Oak Edition,8.02,0.42,9,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glenrothes 10yo,7.99,0.35,5,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glengoyne Cask Strength (batch 3),8.45,0.76,6,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Tormore 12yo,7.93,0.42,10,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Kavalan Concertmaster Port Cask,8.3,0.55,25,$$$$,SingleMalt-like,ABC,C,Taiwan,Malt,7,,,
Deanston 2008 Bordeaux Red Wine Cask Matured,8.78,0.2,6,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Tomintoul 10yo,7.86,0.51,17,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Macallan Gold Double Cask,7.81,0.51,3,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Tullibardine Sovereign,7.53,2.1,10,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Amrut Spectrum (Batch 1),9.21,0.25,14,$$$$$,SingleMalt-like,ABC,C,India,Malt,7,,,
Tullibardine Vintage 1993,8.25,0.45,10,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Macallan Gold,8.14,0.31,20,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Mannochmore 12yo (F&F),8.29,0.14,5,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glenrothes Whisky Maker's Cut,8.69,0.31,7,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,7,,,
Nantou (Omar) Yushan Sherry Cask,8.14,0.36,11,$$$$,SingleMalt-like,ABC,C,Taiwan,Malt,7,,,
Tomintoul 16yo,8.27,0.41,19,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glen Scotia 14yo,8.29,0.16,5,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Wolfburn (NAS),8.27,0.4,10,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Glengoyne 10yo,8.26,0.33,18,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Arran Malt Lochranza Reserve,8.25,0.21,6,$$$,SingleMalt-like,GH,G,Scotland,Malt,7,,,
Hibiki Harmony,8.34,0.48,23,$$$$,SingleMalt-like,GH,G,Japan,Blend,7,,,
High Coast (Box) Quercus I Robur,8.25,0.43,3,$$$$,SingleMalt-like,GH,G,Sweden,Malt,7,,,
Glengoyne Teapot Dram (all batches),8.79,0.48,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Macallan 17yo Fine Oak,8.78,0.52,11,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Talisker 18yo,9.09,0.22,25,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Caol Ila 25yo,8.91,0.18,13,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Compass Box Flaming Heart 2008 2nd Edition,9.05,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Midleton Dair Ghaelach,9.07,0.38,11,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,6,,,
Compass Box Flaming Heart 2015 5th Edition - 15th Anniversary,9.05,0.32,22,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Bladnoch 16yo (Signatory),7.98,0.44,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
BenRiach 21yo Authenticus Peated,8.91,0.35,16,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Talisker 8yo (Special Releases),8.87,0.32,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Glenmorangie Tusail,8.76,0.32,16,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Amrut Fusion,8.89,0.23,32,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
Springbank 11yo Local Barley,9.05,0.2,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Compass Box Flaming Heart 2018 6th Edition,9.03,0.27,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Bladnoch 19yo (Cow label),8.74,0.22,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Compass Box Lady Luck,8.68,0.42,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
White Oak Akashi Single Malt (NAS),7.93,0.46,7,$$$$,SingleMalt-like,GH,G,Japan,Malt,6,,,
Amrut Herald,8.9,0.16,6,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
Compass Box Flaming Heart 2012 4th Edition,8.91,0.31,18,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Springbank 16yo Local Barley,9.13,0.22,15,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
GlenDronach 21yo Parliament,8.78,0.39,29,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
GlenDronach 18yo Tawny Port Finish,8.8,0.36,8,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Balvenie 14yo Peat Week,8.6,0.33,15,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Ledaig 19yo 1998 Pedro Ximénez Finish,9.14,0.3,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Nikka Taketsuru NAS,8.4,0.47,11,$$$$,SingleMalt-like,GH,G,Japan,Malt,6,,,
Glenrothes Minister's Reserve,8.79,0.17,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Bruichladdich Port Charlotte PC12 Oileanach Furachail,8.87,0.43,13,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Aultmore 21yo,8.9,0.34,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Compass Box The Lost Blend,8.88,0.26,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Nikka Yoichi 10yo,8.64,0.28,20,$$$$,SingleMalt-like,I,I,Japan,Malt,6,,,
Bruichladdich Laddie Twenty Two 22yo,8.91,0.26,12,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Highland Park 17yo The Light,8.98,0.27,7,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Amrut Virgin Oak Single Cask,9.04,0.25,5,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
Bruichladdich Infinity Third Edition,8.77,0.28,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Balvenie 21yo Port Wood,8.76,0.37,26,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Tullibardine 20yo,8.58,0.31,5,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Bruichladdich Port Charlotte 2007 CC:01,8.93,0.28,18,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
BenRiach 25yo Authenticus Peated,8.83,0.51,13,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Mars Maltage Cosmo,8.56,0.23,5,$$$$,SingleMalt-like,GH,G,Japan,Malt,6,,,
Glen Scotia 21yo,8.45,0.25,6,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Redbreast Mano a Lámh,8.65,0.37,4,$$$,SingleMalt-like,ABC,C,Ireland,Malt,6,,,
Matsui Mizunara Cask,8.47,0.62,7,$$$$,SingleMalt-like,GH,G,Japan,Malt,6,,,
Midleton Very Rare 2021,8.98,0.44,3,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,6,,,
Ledaig 19yo Marsala Finish,8.83,0.32,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Oban 18yo,8.77,0.21,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Compass Box Flaming Heart 2010 3rd Edition - 10th Anniversary,8.93,0.3,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Macallan Ruby,8.72,0.23,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Bladnoch Vintage 1992-2007 (Signatory),8.22,0.49,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Bladnoch 10yo (F&F),8.52,0.67,3,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Bladnoch 1993-2009 (G&M),8.22,0.21,5,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Bruichladdich Port Charlotte PC11 Eorna Na H-Alba,8.92,0.25,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Yamazaki NAS,8.45,0.23,6,$$$$,SingleMalt-like,GH,G,Japan,Malt,6,,,
Caol Ila 18yo,8.75,0.5,21,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Bladnoch 9yo Lightly Peated,8.86,0.65,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Bowmore Vault Edition Second Release,8.87,0.14,3,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Highland Park Sigurd,8.98,0.35,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Bruichladdich Port Charlotte 2010 OLC:01 9yo,8.78,0.24,3,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Midleton Very Rare 2016,8.79,0.34,4,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,6,,,
Yamazaki 12yo,8.67,0.29,30,$$$$,SingleMalt-like,GH,G,Japan,Malt,6,,,
Midleton Very Rare (all vintages),8.79,0.39,15,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,6,,,
Caol Ila 15yo Unpeated 2018,8.65,0.45,17,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Amrut Two Continents,8.79,0.46,15,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
BenRiach 20yo,8.27,0.69,12,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,6,,,
Bruichladdich Port Charlotte 2010 MRC:01,8.97,0.19,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Amrut Double Cask,8.98,0.19,13,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
Talisker 15yo (Special Release 2019),8.85,0.29,13,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Compass Box Flaming Heart (all editions),8.97,0.29,30,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Bruichladdich Port Charlotte PC10 Tro Na Linntean,8.96,0.39,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Paul John Single Cask,8.8,0.61,8,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
Springbank 18yo,8.95,0.22,25,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Amrut Bengal Tiger PX Single Cask (Canada),8.67,0.25,6,$$$$,SingleMalt-like,ABC,C,India,Malt,6,,,
Macallan Classic Cut (all editions),8.73,0.21,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
GlenDronach vintage 20yo Single Cask (all vintages),9.02,0.36,16,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
The Irishman Single Malt (NAS),8.15,0.4,8,$$$,SingleMalt-like,EF,E,Ireland,Malt,6,,,
Matsui The Peated,7.9,1.11,5,$$$$,SingleMalt-like,I,I,Japan,Malt,6,,,
Bowmore 15yo Mariner,8.56,0.48,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Glenmorangie A Midwinter Night’s Dram,8.53,0.31,8,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Bunnahabhain 14yo 2003 Pedro Ximenez Finish,8.83,0.56,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Bowmore Vault Edition First Release,8.56,0.32,15,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Kilchoman Coull Point,8.56,0.34,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Bowmore 17yo,8.38,0.66,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Glenfiddich 19yo Age of Discovery (Madeira Cask),8.46,0.47,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
GlenDronach 18yo Allardice,8.83,0.37,30,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Glen Breton 21yo,8.18,0.37,3,$$$$$,SingleMalt-like,EF,E,Canada,Malt,6,,,
Amrut Portonova,8.96,0.28,24,$$$$,SingleMalt-like,ABC,C,India,Malt,6,,,
Nikka Miyagikyo 12yo,8.52,0.31,8,$$$$,SingleMalt-like,I,I,Japan,Malt,6,,,
Hibiki 21yo,9.13,0.27,11,$$$$$+,SingleMalt-like,EF,E,Japan,Blend,6,,,
Writers Tears Red Head Single Malt,8.27,0.35,11,$$$,SingleMalt-like,ABC,C,Ireland,Malt,6,,,
Nikka All Malt,8.39,0.22,9,$$,SingleMalt-like,EF,E,Japan,Malt,6,,,
Nikka Miyagikyo 10yo,8.51,0.35,10,$$$$,SingleMalt-like,I,I,Japan,Malt,6,,,
Glenfiddich 12yo Caoran Reserve,7.83,0.49,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Redbreast 12yo,8.71,0.41,26,$$$,SingleMalt-like,EF,E,Ireland,Malt,6,,,
Midleton Very Rare 2015,8.53,0.37,6,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,6,,,
Glenmorangie Milsean,8.44,0.38,13,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Paul John Classic Select Cask,8.59,0.38,7,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
Tullamore Dew 14yo Single Malt,8.41,0.23,3,$$$,SingleMalt-like,EF,E,Ireland,Malt,6,,,
Longrow 10yo Tokaji Finish,7.42,1.07,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt,6,,,
Amrut Bourbon Single Cask,8.72,0.36,13,$$$$,SingleMalt-like,EF,E,India,Malt,6,,,
Midleton Very Rare 2017,9.08,0.28,4,$$$$$,SingleMalt-like,EF,E,Ireland,Blend,6,,,
Amrut Madeira Cask Finish (Batch 1),8.92,0.16,6,$$$$,SingleMalt-like,ABC,C,India,Malt,6,,,
Tullamore Dew 10yo Single Malt,8.0,0.84,6,$$$,SingleMalt-like,EF,E,Ireland,Malt,6,,,
Glengoyne 21yo,8.89,0.21,23,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Amrut Kadhambam,8.89,0.25,23,$$$$,SingleMalt-like,ABC,C,India,Malt,6,,,
Nikka Yoichi NAS,8.57,0.3,15,$$$$,SingleMalt-like,I,I,Japan,Malt,6,,,
Tamdhu 30yo (MacPhail Collection 2009),9.16,0.19,3,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
GlenDronach vintage 19yo Single Cask (all vintages),8.98,0.33,19,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,6,,,
Balblair 12yo,8.23,0.19,7,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Bushmills 21yo Single Malt,8.96,0.37,11,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt,5,,,
Glenfiddich 1963 Original Malt,8.25,0.44,8,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Kilkerran 8yo Cask Strength,8.92,0.23,14,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Bushmills 12yo Single Malt,8.55,0.34,4,$$$$$,SingleMalt-like,EF,E,Ireland,Malt,5,,,
Aberlour A'Bunadh (Batch 36),8.96,0.45,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
GlenDronach Cask Strength (batch 7),8.7,0.49,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Bowmore Black Rock,8.19,0.35,9,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Two Brewers Release 08 Innovative,8.55,0.61,6,$$$$,SingleMalt-like,EF,E,Canada,Malt,5,,,
Talisker 57 North,8.92,0.26,22,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Glenmorangie Nectar d'Or,8.7,0.29,27,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Talisker Distiller's Edition (all editions),8.9,0.23,29,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
Glenrothes Sherry Cask Reserve,8.08,0.68,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Auchentoshan Bartender's Malt,8.5,0.46,13,$$,SingleMalt-like,EF,E,Scotland,Malt,5,,,
Glen Scotia 18yo,8.42,0.58,5,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 46),8.87,0.09,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 54),8.89,0.2,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Jura Turas Mara,7.86,0.55,5,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
GlenDronach Cask Strength (batch 4),8.91,0.22,14,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Aberlour A'Bunadh (all batches),8.91,0.19,34,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Strathmill 12yo,8.37,0.28,3,$$$$,SingleMalt-like,GH,G,Scotland,Malt,5,,,
Aberlour A'Bunadh (Batch 34),8.92,0.32,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5,,,
Royal Lochnagar 12yo,7.99,0.33,15,$$,SingleMalt-like,ABC,C,Scotland,Malt,5,,,
Karuizawa Asama Vintages 1999-2000,8.7,0.52,9,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt,5,,,
Glen Garioch 1995,8.89,0.36,12,$$$$,SingleMalt-like,I,I,Scotland,Malt,5,,,
